minute_bin,direction,voltage_std,motor_speed,sample_count,angle_mean,collapse_count,material,density,tribo_rank,resistivity,grouped_speed
3,Increasing,0.004472568899816085,10.96249374895816,11998,33.9278640776699,103,nylon,1.14,-18.35,12,11
4,Increasing,0.008035567915416212,15.945842359606733,12002,36.1085046728972,107,nylon,1.14,-18.35,12,16
5,Increasing,0.012839343968963367,20.932488748124687,11998,37.76099236641221,131,nylon,1.14,-18.35,12,21
6,Decreasing,0.018184921073035498,26.0,11796,41.538306451612904,124,nylon,1.14,-18.35,12,26
7,Decreasing,0.0220067645480853,26.0,12000,44.898160000000004,125,nylon,1.14,-18.35,12,26
8,Decreasing,0.024184078302612773,21.1125,12000,45.57969465648855,131,nylon,1.14,-18.35,12,21
9,Decreasing,0.025169695403780758,16.125833333333333,12000,44.87099236641222,131,nylon,1.14,-18.35,12,16
10,Decreasing,0.024922220824946814,11.1375,12000,42.22504504504504,111,nylon,1.14,-18.35,12,11
11,Decreasing,0.02472857706184452,6.155833333333334,12000,38.36848214285715,112,nylon,1.14,-18.35,12,6
12,Decreasing,0.02340063743935395,1.1650275045840974,11998,37.330625,32,nylon,1.14,-18.35,12,1
1,Increasing,0.0061979430877181765,1.0,12002,31.77390243902439,41,nylon,1.14,-18.35,12,1
2,Increasing,0.004074453519841145,5.985835694050992,12002,33.774339622641506,106,nylon,1.14,-18.35,12,6
3,Increasing,0.005413139840248708,10.9775,12000,35.903423423423426,111,nylon,1.14,-18.35,12,11
4,Increasing,0.008204044202871647,15.964166666666667,12000,39.2990350877193,114,nylon,1.14,-18.35,12,16
5,Increasing,0.011694738427587927,20.9525,12000,41.961739130434786,115,nylon,1.14,-18.35,12,21
6,Decreasing,0.014985101297477902,26.0,11848,46.04370689655172,116,nylon,1.14,-18.35,12,26
7,Decreasing,0.017626480045131194,26.0,12000,49.62724409448819,127,nylon,1.14,-18.35,12,26
8,Decreasing,0.019409767749831167,21.095833333333335,12000,48.93292682926829,123,nylon,1.14,-18.35,12,21
9,Decreasing,0.019980741091588095,16.1100183363894,11998,47.572384615384614,130,nylon,1.14,-18.35,12,16
10,Decreasing,0.01965390692251554,11.130833333333333,12000,45.76905982905983,117,nylon,1.14,-18.35,12,11
11,Decreasing,0.01962386106149794,6.145024170695116,11998,41.586400000000005,100,nylon,1.14,-18.35,12,6
12,Decreasing,0.01836241314644348,1.1624729211798033,12002,40.00555555555556,36,nylon,1.14,-18.35,12,1
